Text,Product_Start,Product_End,Price_Start,Price_End,Promotion_Start,Promotion_End,Marketplace_Start,Marketplace_End,,,,
Abis shopeefood Mcd karena laper banget dan abis 80 ribu :(,16,18,49,55,,,,,,,,
Ngidam makan lawson karena ada diskon 5.5 di gojek dan cuma abis 50k buat 3 odeng,76,80,65,67,31,40,45,49,,,,
IMPULSIVE BANGET abis beli tiket nonton badminton 3 hari berturut-turut tp cuma abis 100k,27,38,85,88,,,,,,,,
kepikiran pgn beli ipad tp hbs ini juga udh gk kuliah yg full matkul jadi ywd buat apa,19,22,,,,,,,,,,
pengen hidup sehat dan pas banget dapet voucher di tiktok shop akhirnya beli blender seharga 150k,77,83,93,96,,,51,61,,,,
Ada diskon 30% untuk minyak karena lagi ada payday sale,21,26,,,4,13,,,,,,
info harga motor mio,5,9,,,,,,,,,,
mau beli mobil avanza second budget 200 jt,9,20,36,41,,,,,,,,
abis beli obat kutu kucing yang harganya 150k,10,25,41,44,,,,,,,,
pengen beli foundation tapi harganya 120k,12,21,37,40,,,,,,,,
Aku baru saja membeli lipstik merah yang cantik karena ada promo buy 1 get 1,22,28,,,65,75,,,,,,
Ada diskon 20% untuk semua produk maskara minggu ini,34,40,,,4,13,,,,,,
Concealer dengan harga promo hanya Rp 75.000 untuk pembelian hari ini,0,8,35,44,,,,,,,,
Saya coba beli sayuran di AlloFresh dan dapat diskon 20% dan hanya menghabiskan 35k,15,21,80,82,46,55,26,34,,,,
"Kemarin saya coba beli es krim di Baskin Robbins dan harganya 125k, sangat mahal",23,29,62,65,,,34,47,,,,
Kemarin siang saya beli paket makan siang dengan harga promo Rp 20.000 di Restoran Padang Sederhana.,30,40,61,69,,,74,98,,,,
Saya beli indomie 1 dus di Tokopedia karena sedang ada diskon 50%,10,16,,,55,64,27,35,,,,
Saya beli Minyak kayu putih dengan harga Rp 20.000 di Tokopedia,10,26,41,49,,,,,,,,
Maskara waterproof ini memiliki harga Rp 80.000 beli 1 gratis 1,0,6,38,46,48,62,,,,,,
Eyeshadow palette dengan berbagai warna vibrant dijual seharga Rp 150.000,0,8,63,72,,,,,,,,
Foundation matte yang tahan lama gratis pengiriman untuk pembelian di atas Rp 200.000.,0,9,75,84,,,,,,,,
"Bedak tabur dengan tekstur halus ini memiliki harga Rp 75.000, promo buy 2 get 1 free.",0,4,52,60,69,79,,,,,,
Blush on dalam warna natural ini dijual dengan harga Rp 60.000 diskon 15% untuk pembelian online.,0,7,53,61,,,,,,,,
"Pensil alis tahan air ini dijual dengan harga Rp 30.000, promo beli 3 gratis 1.",0,10,46,54,63,77,,,,,,
"Pengen beli rok dengan desain motif bunga harga Rp 100.000 di Tokopedia.
",12,14,48,57,,,62,70,,,,
Kemarin saya beli obat batuk di online cuma 30k karena dapat diskon 10%.,18,27,44,46,61,70,32,37,,,,
Celana jeans slim fit dengan potongan harga 20% saat pembelian di Zalora.,0,11,,,38,46,66,71,,,,
Saya beli Vitamin C dengan diskon 20% di JD.ID dan dapat harga 10 ribu untuk 3pcs,10,18,63,70,27,36,41,45,,,,
"Toner dengan kandungan bahan alami ini dijual dengan harga Rp 55.000, promo buy 1 get 1 free.",0,4,59,67,76,86,,,,,,
"Serum wajah yang menghidrasi ini dijual dengan harga Rp 120.000, diskon 15% untuk pembelian lebih dari Rp 150.000.",0,4,53,62,65,74,,,,,,
"Losion tubuh dengan aroma floral ini dijual dengan harga Rp 40.000, promo beli 2 dapatkan diskon 20% untuk produk mandi.",0,5,57,65,90,99,,,,,,
Sepatu sneakers hitam dengan harga promo Rp 300.000 di JD.ID.,0,14,41,50,,,55,59,,,,
Hari ini saya beli Vitamin D dengan harga promo Rp 80.000 di Apotek Century.,19,27,48,56,,,61,74,,,,
Obat alergi dengan diskon 10% di Watsons.,0,10,,,19,28,,,,,,
"Sabun wajah dengan kandungan alami ini dijual dengan harga Rp 35.000, diskon 10% untuk pembelian online.",0,4,59,67,70,79,,,,,,
"Krim malam yang menghidrasi ini dijual dengan harga Rp 80.000, promo beli 1 dapatkan potongan harga 50% untuk produk perawatan mata.",0,3,52,60,85,102,,,,,,
Saya beli sandal gunung dengan diskon 10% di Lazada.,10,22,,,,,45,50,,,,
Saya rencana ingin liburan ke luar negeri dan beli Koper lipat dengan harga promo Rp 200.000 di Tokopedia.,51,55,82,91,,,96,104,,,,
"Eyeliner tahan air ini dijual dengan harga Rp 25.000, diskon 15% untuk pembelian lebih dari Rp 50.000",0,7,43,51,54,63,,,,,,
"Pelembab bibir dengan SPF 15 ini dijual dengan harga Rp 20.000, promo beli 2 dapatkan diskon 10%.",0,7,53,61,86,95,,,,,,
Saya baru saya membeli sisir seharga 50 ribu,23,27,37,43,,,,,,,,
"Kuas makeup yang lembut ini dijual dengan harga Rp 35.000, diskon 20% untuk pembelian online.",0,10,48,56,59,68,,,,,,
Mau beli tiket konser RV tapi harganya 5 juta,9,20,39,44,,,,,,,,
Mau beli Sleeping bag dengan harga promo Rp 350.000 di Blibli.,9,20,41,50,,,55,60,,,,
"Tisu pembersih wajah yang praktis ini dijual seharga Rp 25.000, promo buy 2 get 1 free.",0,3,53,61,70,80,,,,,,
"Pengen beli totebag dengan diskon 15% di Matahari Department Store dengan harga 1.2 juta
",12,18,80,87,,,41,48,,,,
Aku nemu dress cantik dengan harga Rp 250.000 di Shopee.,9,13,35,44,,,49,54,,,,
ada promo buy 1 get 1 di domino pizza cuma 125 ribu,32,36,43,50,10,20,25,36,,,,
Ada topi warna emerald dengan harga diskon Rp 50.000 di Blibli,4,7,43,51,,,56,61,,,,
Kemarin lihat jam tangan analog cakep bgt harganya 500 ribu tapi,14,23,51,58,,,,,,,,
Rok plisket dengan harga diskon Rp 200.000 di Tokopedia.,0,2,32,41,,,46,54,,,,
"Ada penawaran khusus, beli pensil alis dan dapatkan maskara dengan harga diskon 50%",27,37,,,,,,,,,,
Celana panjang casual dengan diskon 25% di Matahari Department Store harganya jadi 75k aja,0,13,83,85,29,38,43,50,,,,
"Ada sweater rajut hangat dengan harga Rp 150.000 di Shopee, beli ga ya?",4,10,38,47,,,52,57,,,,
Lagi ada trend di tiktok makanan seblak langsung jadi dan harganya cuma 25k,33,38,72,74,,,18,23,,,,
Kemarin saya beli kopi dengan harga 50k,18,21,36,38,,,,,,,,
Saya beli masker kesehatan dengan harga Rp 5.000 per box di Guardian.,10,25,40,47,,,60,67,,,,
Dapatkan sabun wajah gratis untuk pembelian produk perawatan kulit di atas Rp 200.000,9,13,75,84,,,,,,,,
Blush on dalam warna peach ini sedang dalam promo beli 2 gratis 1,0,7,,,50,64,,,,,,
Toner dengan bahan alami ini dijual dengan harga spesial Rp 80.000.,0,4,57,65,,,,,,,,
Saya beli dompet paspor dengan diskon 10% di Shopee.,10,22,,,31,40,45,50,,,,
Saya beli alat pijat punggung untuk kakek saya dengan harga promo Rp 300.000 di Blibli.,10,19,66,75,,,80,85,,,,
Tolong info harga obat pereda nyeri ,18,21,,,,,,,,,,
Tas kabin dengan harga promo Rp 300.000 di Blibli.,0,8,29,38,,,43,48,,,,
Power bank portabel dengan potongan harga 15% di JD.ID.,0,9,,,27,44,49,53,,,,
info harga tiket kereta api ke jogja,11,26,,,,,,,,,,
Lipstik merah  diskon 20% dan dijual dengan harga Rp 50.000,0,6,50,58,15,24,,,,,,
Saya beli di burger ayam dengan potongan harga 15% di Burger King.,13,18,,,32,49,54,64,,,,
kemarin saya nemu Teh hijau dengan diskon 25% di Shopee.,18,20,,,35,44,49,54,,,,
Saya ingin makan salmon dengan harga Rp 30.000 per porsi di Sushi Tei.,17,22,37,45,,,60,68,,,,
Susu bayi dengan harga Rp 100.000 per botol di Apotek Kimia Farma.,0,8,23,32,,,47,64,,,,
Pakaian bayi dengan diskon 20% di JD.ID,0,11,,,20,29,34,,,,,
beli bantal duduk dengan harga promo Rp 50.000 di Tokopedia.,0,16,37,45,,,50,58,,,,
Roti tawar dengan harga Rp 5.000 per bungkus di Indomaret,0,9,24,31,,,48,56,,,,
Beli obat kutu kucing seharga 150 ribu,5,20,30,37,,,,,,,,
saya beli kompas dengan potongan harga 15% di Shopee.,10,15,,,24,41,46,51,,,,
beli tenda dengan harga Rp 250.000 di JD.ID.,5,9,24,33,,,38,42,,,,
Es teh manis dengan diskon 10% di Teh Poci.,0,5,,,20,29,34,41,,,,
"Spons beauty dengan tekstur lembut ini dijual dengan harga Rp 15.000, promo beli 2 gratis 1.",0,4,59,67,76,90,,,,,,
"eyeshadow dengan harga Rp 50.000, diskon 10% untuk pembelian selama weekend.",0,8,23,31,34,43,,,,,,
Ayam goreng crispy dengan harga promo Rp 35.000 di KFC.,0,10,38,46,,,51,53,,,,
Tempat tidur bayi dengan diskon 25% di Shopee.,0,16,,,25,34,39,44,,,,
Stroller dengan harga promo Rp 500.000 di Baby Shop.,0,7,28,37,,,42,50,,,,
Kemarin saya tiba tiba beli Cincin berlian dengan harga Rp 10.000.000 di Mall,28,33,56,68,,,73,76,,,,
Anting emas dengan diskon 20% di JD.ID jadi hanya 300 ribu,0,5,50,57,19,28,33,37,,,,
Saya beli popok sekali pakai dengan diskon 10% di Guardian untuk adik saya,10,14,,,36,45,50,57,,,,
Jam tangan pria dengan diskon 10% di Mall,0,9,,,23,32,37,40,,,,
Botol susu dengan harga Rp 20.000 per botol di Guardian.,0,9,24,32,,,47,54,,,,
Set perhiasan berlian dengan harga promo Rp 25.000.000 di Perhiasan Eksklusif.,14,20,41,53,,,58,76,,,,
Kereta dorong bayi dengan harga promo Rp 300.000 di Blibli.,0,12,38,47,,,52,57,,,,
Cincin emas dengan diskon 10% di Shopee.,0,5,,,19,28,,,,,,
saya beli mobil baru seharga 150 juta,10,14,29,36,,,,,,,,
Mainan kucing dengan diskon 15% di JD.ID murah hanya 40k,0,12,53,55,21,30,35,39,,,,
Pengen beli speaker Bluetooth dengan harga promo Rp 500.000 di Tokopedia,12,28,49,58,,,63,71,,,,
Makanan bayi dengan diskon 15% di Toko,0,11,,,20,29,34,37,,,,
"Krim mata untuk mengurangi kerutan ini dijual dengan harga Rp 60.000, diskon 20% untuk anggota member.",0,8,59,67,,,,,,,,
"Pewarna kuku dalam berbagai warna ini dijual dengan harga Rp 15.000 per botol, promo beli 3 gratis 1.",0,11,58,66,85,99,,,,,,
Gaming console dengan harga promo Rp 4.000.000 di Tokopedia,7,13,34,41,,,50,58,,,,
Earphone dengan potongan harga 15% di JD.ID.,0,7,,,16,33,38,42,,,,
Air purifier dengan diskon 10% di Shopee jadi hanya 80ribu,0,11,,,20,29,34,39,,,,
Smartwatch dengan harga promo Rp 1.000.000 di Tiktok Shop,0,9,30,41,,,46,56,,,,
Kacamata dengan harga promo Rp 100.000 di Watsons.,0,7,28,37,,,42,48,,,,
Alat pengukur suhu tubuh dengan potongan harga 15% di Matahari ,0,17,,,32,49,54,61,,,,
Saya ingin beli motor yang harganya dibawah 20 juta,16,20,44,50,,,,,,,,
Sepeda lipat dengan harga promo Rp 1.000.000 di Tokopedia.,0,5,32,43,,,48,56,,,,
Saya kemarin beli mie gacoan di shopeefood hanya 35 ribu,18,20,49,55,,,32,41,,,,
Saya sedang memikirkan ayam goreng spesial yang dijual dengan harga promo Rp 25.000 di shopeefood Apakah sebaiknya saya membelinya?,23,33,74,82,,,87,96,,,,
Saya sedang memikirkan nasi goreng spesial yang dijual dengan harga promo Rp 25.000 di Gojek. Apakah sebaiknya saya membelinya?,23,33,74,82,,,87,91,,,,
"Ada paket tur ke Pulau Komodo dengan harga promo, hanya 3 juta untuk satu orang. Sebaiknya saya ikut tur tersebut atau mencari opsi lain?",4,12,56,61,,,,,,,,
Mobil sedan dengan harga Rp 200.000.000 di Dealer Mobil A.,0,10,25,34,,,43,55,,,,
Saya ingin membeli mesin cuci dengan harga Rp 3.000.000 di Tokopedia,19,28,43,54,,,59,67,,,,
Motor sport dengan diskon 10% di Dealer Motor B.,0,10,,,19,28,33,45,,,,
"Liat tetangga beli sepeda baru jadi pengen, tapi cuma ada uang 3 juta",19,24,63,68,,,,,,,,
Beli tablet di Shopee apakah worth it? Ada diskon 30% jadi 9 juta aja,5,10,,,43,52,15,20,,,,
Mobil SUV dengan potongan harga 15% di Dealer Mobil X.,0,8,,,17,34,39,50,,,,
Pengen beli concealer karena lg ada diskon 25% di TikTok shop ,12,20,,,36,45,50,60,,,,
Lip balm dengan aroma buah-buahan ini dijual dengan harga Rp 20.000 dan diskon 30% karena grand opening.,0,7,58,66,,,,,,,,
"Pelembab wajah dengan SPF 30 ini dijual dengan harga Rp 90.000, dapat diskon 50% dari harga awal.",0,7,53,61,70,79,,,,,,
"Scrub wajah yang lembut ini dijual seharga Rp 45.000, diskon 10% untuk pembelian selama jam kerja.",0,4,43,51,,,,,,,,
Anak udah mau gede jadi butuh beli Stroller tapi cuma ada budget 1 juta,35,42,65,70,,,,,,,,
Tengah malem laper banget jadi pengen beli kopi,43,46,,,,,,,,,,
Pegel pegel abis wfo seharian lgsg beli koyo merah di Watson dan dapet diskon 10% jadi cuma 15 ribu,40,49,92,98,,,54,59,,,,
Saya beli anting berlian dengan harga promo Rp 3.000.000 di JD.ID.,10,15,44,55,,,60,64,,,,
Gelang emas dengan potongan harga 20% di Butik Perhiasan Y.,0,5,,,19,36,41,45,,,,
Apakah sebaiknya saya membeli baju baru untuk acara pernikahan yang akan datang?,30,33,,,,,,,,,,
mau beli susu bayi dengan harga Rp 150.000 di Shopee,9,13,32,41,,,46,51,,,,
Baju hamil dengan potongan harga 15% di Matahari Department Store.,0,9,,,18,35,40,47,,,,
Perlengkapan makan bayi dengan harga promo Rp 50.000 di Tokopedia,0,17,43,51,,,56,64,,,,
Carseat bayi dengan diskon 25% di Shopee.,0,6,,,20,29,34,39,,,,
"Kemarin nyium orang pake parfum enak banget dan barusan nemu di mall yang sama wanginya, harganya 150k beli ga ya?",25,30,98,101,,,64,67,,,,
"Shampoo untuk rambut kering ini dijual dengan harga Rp 25.000, diskon 25% untuk pembelian kedua.",0,6,52,60,63,72,,,,,,
"Conditioner yang melembutkan rambut ini dijual dengan harga Rp 30.000, promo buy 2 get 1 free.",0,10,60,68,77,87,,,,,,
Mau beli parfum buat konser di Shopee lagi ada diskon jadi 100 ribu.,9,14,59,66,,,31,36,,,,
Baju tidur piyama dengan potongan harga 10% di Zalora.,0,3,,,25,42,47,52,,,,
Kemeja lengan panjang dengan harga promo Rp 180.000 di JD.ID.,0,5,41,50,,,55,59,,,,
Aku dapet tiket pesawat promo ke Bali seharga Rp 1.000.000 di Traveloka.,10,22,46,57,,,62,70,,,,
Sabun mandi dengan harga promo Rp 10.000 di Watsons.,0,4,31,39,,,44,50,,,,
Bros perak dengan harga Rp 500.000 di Perhiasan Klasik.,0,3,24,33,,,38,53,,,,
botol susu bayi dengan potongan harga 15% di Matahari,0,9,,,23,40,45,52,,,,
"Saya baru saja membeli mobil baru, sebuah sedan dengan mesin yang efisien dengan harga sekitar 200 juta rupiah",23,27,95,102,,,,,,,,
Saya senang menggunakan sepeda gunung untuk berpetualang dengan harga sekitar 5 juta rupiah.,24,29,78,83,,,,,,,,
Saya sangat puas dengan kualitas skuter elektrik merek lokal yang saya beli dengan harga sekitar 10 juta rupiah,33,38,97,103,,,,,,,,
stroller dengan harga Rp 150.000 di Apotek Kimia Farma.,0,7,22,31,,,36,53,,,,
Gendongan bayi dengan diskon 10% di JD.ID.,0,13,,,22,31,36,40,,,,
Mainan kucing dengan harga promo Rp 30.000 di Blibli.,0,12,33,41,,,46,51,,,,
"Kertas minyak untuk mengontrol minyak berlebih di wajah ini dijual dengan harga Rp 10.000, diskon 50% untuk pembelian kedua.",0,12,80,88,91,100,,,,,,
"Masker wajah dalam berbagai varian ini dijual dengan harga Rp 30.000 per lembar, promo beli 5 gratis 2.",0,11,59,67,,,,,,,,
Lagi pengen deh beli topi adidas di shopee... 210rb worth it gak yaa?,21,24,46,50,,,36,41,,,,
Pengen dapet tiket konser coldplay festival tapi harganya udah 10jt++ huhu,13,24,63,68,,,,,,,,
Di gojek lagi ada promo McD tuh 1 ayam 1 nasi jadi cuman 35rb,24,26,57,60,18,44,3,7,,,,
Hai aku laig pengen beli iphone 13 di harga 13 juta murah ga ya?,25,33,44,50,,,,,,,,
Abis nonton video fitra Eri sama om mobi jadi tertarik sama avanza veloz deh tapi cuma mampu beli second..,60,66,,,,,,,,,,
Pengen beli tiket ke bali harganya 2.5jt worth it ga sih?,12,16,35,39,,,,,,,,
minggu depan mau ke jogja naik kereta 600rb lagi mahal deh kayaknya,31,36,38,42,,,,,,,,
mending aku beli sabun cair lifebuoy yg beli 1 gratis 1 dengan harga 32.500 di tokopedia ga sih..?,17,21,69,72,39,54,79,87,,,,
Motor Murah Tipe Matic Bikinan Suzuki Mesin 125 cc Bagasi Muat 2 Helm Harga Tidak Sampai Rp 20 Juta,0,4,89,98,,,,,,,,
Kemarin di mall ngeliat kemeja koko beli 1 gratis 1 total harga 370rb.. Cuan sih,24,29,64,68,36,50,11,14,,,,
Lagi pengen beli flanel di mall harganya lagi diskon 30% jadi 280rb,17,22,62,66,46,55,27,30,,,,
Tertarik beli sabun mandi nuvoo lagi diskon 8% di tokopedia,14,18,,,37,45,50,58,,,,
asli deh sabun watsons di tokopedia cuma 39800 beli kali ya,9,13,41,45,,,26,34,,,,
Mau refill sabun dettol di tokopedia harganya 20rb an,11,15,46,52,,,27,35,,,,
KOJIE SAN Face lightening cream yg 30 g worth it gak 50k?,10,13,53,55,,,,,,,,
Lucuu ada sabun jerawat di tokped 130ribu pengen beli tapi uang sekaratt,10,14,34,40,,,27,32,,,,
Sabun pyary nalpamara original itu bagus ga yaa? 22ribuan diaa,0,4,49,56,,,,,,,,
"Eh ada sabun asepso promo dari 32ribu jadi 28 ribu, diskon 15%, gue beli ga ya tapi tokped",7,11,43,49,52,61,84,89,,,,
"guys sabun sensatia botanicals lagi diskon 25% tuh jadi 180ribu, gas beli",5,9,56,62,36,45,,,,,,
"wow parfum armaf club de nuit lg diskon dari 2.5 juta diskon jadi sejuta doang, 57% diskon!",4,9,45,52,54,77,,,,,,
HMNS perfume yg 100 ml worth it gak kalau 320.000,5,11,42,48,,,,,,,,
Parfum kahf itu yang warna biru oke ga? lagi diskon 3 persen,0,5,,,45,59,,,,,,
Mau beli project 1945 yang parfum the great batavia itu tpi mahal bgt 275000,27,32,70,75,,,,,,,,
sari ayu tanjung body perfume itu enak ga? yang 29ribu,22,28,48,53,,,,,,,,
zwitsal punya perfume eau de toilette di tokopedia wkwkkw lucu,14,20,,,,,41,49,,,,
bjorka perfume lg promo beli 10 dapet 3 dengan harga 39900,7,13,53,57,24,38,,,,,,
mending beli parfum bermerek tapi 2jutaan atau yang biasa aja ya?,13,18,34,40,,,,,,,,
parfum thailand 35 ml cuma 5ribu di tokopedia cuan ga?,0,5,27,31,,,36,44,,,,
parfum onix gratitude dengan harga 197rb enak ,0,5,35,39,,,,,,,,
"Akhir bulan gini tiba tiba pengen ganti mobil tapi di rekening sisa 71rb ke mana ya, sederhana saja :)",40,44,68,71,,,,,,,,
Aku ingin membeli sepatu olahraga Nike Air Max. Harganya sekitar 1.000.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 20%.,18,23,65,73,115,132,85,93,,,,
Saya sedang mencari laptop Asus ROG. Harganya sekitar 15.000.000 rupiah di Shopee setelah mendapatkan diskon sebesar 10%.,20,25,54,63,102,115,75,80,,,,
Teman saya ingin membeli ponsel Samsung Galaxy S21. Harganya sekitar 10.000.000 rupiah di mal setelah mendapatkan diskon sebesar 15%.,25,30,69,78,114,131,90,92,,,,
Aku berencana membeli baju di Tokopedia. Harganya sekitar 500.000 rupiah setelah mendapatkan diskon sebesar 30%.,22,25,58,60,93,110,30,38,,,,
Saya ingin membeli laptop Dell XPS 13. Harganya sekitar 20.000.000 rupiah di Shopee setelah mendapatkan diskon sebesar 5%.,19,24,56,65,104,120,77,82,,,,
Aku mencari blender merk Philips. Harganya sekitar 700.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,12,18,51,57,93,110,69,71,,,,
Saya ingin membeli beras di supermarket. Harganya sekitar 50.000 rupiah per kilogram setelah mendapatkan diskon sebesar 10%.,19,23,58,63,105,122,28,38,,,,
Teman saya tertarik membeli televisi Samsung 55 inci. Harganya sekitar 8.000.000 rupiah di Shopee setelah mendapatkan diskon sebesar 15%.,28,35,71,79,118,135,91,96,,,,
Aku ingin membeli headset wireless Sony WH0000XM4. Harganya sekitar 3.000.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 20%.,18,24,68,76,118,135,88,96,,,,
Saya mencari printer Canon Pixma. Harganya sekitar 1.500.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,13,19,51,59,95,112,71,73,,,,
Aku ingin membeli baju kaos polos. Harganya sekitar 100.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,18,21,52,58,94,111,70,72,,,,
Saya sedang mencari koper ukuran besar. Harganya sekitar 500.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 10%.,20,24,57,63,105,122,75,83,,,,
Teman saya ingin membeli sepatu boots. Harganya sekitar 400.000 rupiah di Shopee setelah mendapatkan diskon sebesar 15%.,25,30,56,62,101,118,74,79,,,,
Aku berencana membeli baju gamis untuk Lebaran. Harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 25%.,22,25,65,71,107,124,83,85,,,,
Saya ingin membeli tas ransel dengan banyak kantong. Harganya sekitar 200.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 30%.,19,28,70,76,,,88,96,,,,
Aku mencari sepatu sneakers merk Adidas. Harganya sekitar 800.000 rupiah di mal setelah mendapatkan diskon sebesar 10%.,12,17,58,64,100,117,76,78,,,,
Saya ingin membeli mainan anak-anak di supermarket. Harganya sekitar 50.000 rupiah setelah mendapatkan diskon sebesar 15%.,19,24,69,74,103,120,39,49,,,,
Teman saya tertarik membeli baju renang. Harganya sekitar 150.000 rupiah di Shopee setelah mendapatkan diskon sebesar 20%.,28,31,58,64,103,120,76,81,,,,
Aku ingin membeli perlengkapan olahraga seperti matras yoga. Harganya sekitar 250.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 10%.,48,54,78,84,126,143,96,104,,,,
Saya mencari sepatu sandal jepit merek Havaianas. Harganya sekitar 300.000 rupiah di mal setelah mendapatkan diskon sebesar 20%.,13,18,67,73,109,126,85,87,,,,
Aku ingin membeli buku novel terbaru. Harganya sekitar 150.000 rupiah di Tokopedia setelah mendapatkan diskon sebesar 5%.,18,21,55,61,103,119,73,81,,,,
Saya sedang mencari alat tulis seperti pensil warna. Harganya sekitar 20.000 rupiah di supermarket setelah mendapatkan diskon sebesar 10%.,20,29,70,75,119,136,87,97,,,,
