Text,Product_Name,Product_Start,Product_End,Price_Name,Price_Start,Price_End,Promotion_Type,Promotion_Start,Promotion_End,Marketplace_Name,Marketplace_Start,Marketplace_End
Mau beli Sleeping bag dengan harga promo Rp 350.000 di Blibli.,sleeping bag,9,20,Rp 350.000,41,50,,0,-1,blibli,55,60
"Tisu pembersih wajah yang praktis ini dijual seharga Rp 25.000, promo buy 2 get 1 free.",tisu,0,3,Rp 25.000,53,61,buy 2 get 1,70,80,,,
"Pengen beli totebag dengan diskon 15% di Matahari Department Store dengan harga 1.2 juta
",totebag,12,18,1.2 juta,80,87,,,,matahari,41,48
Aku nemu dress cantik dengan harga Rp 250.000 di Shopee.,dress,9,13,Rp 250.000,35,44,,,,shopee,49,54
ada promo buy 1 get 1 di domino pizza cuma 125 ribu,pizza,32,36,125 ribu,43,50,buy 1 get 1,10,20,domino pizza,25,36
Ada topi warna emerald dengan harga diskon Rp 50.000 di Blibli,topi,4,7,Rp 50.000,43,51,,,,blibli,56,61
Kemarin lihat jam tangan analog cakep bgt harganya 500 ribu tapi,jam tangan,14,23,500 ribu,51,58,,,,,,
Rok plisket dengan harga diskon Rp 200.000 di Tokopedia.,rok,0,2,Rp 200.000,32,41,,,,tokopedia,46,54
"Ada penawaran khusus, beli pensil alis dan dapatkan maskara dengan harga diskon 50%",pensil alis,27,37,,,,,,,,,
Celana panjang casual dengan diskon 25% di Matahari Department Store harganya jadi 75k aja,celana panjang,0,13,75k,83,85,diskon 25%,29,38,matahari,43,50
"Ada sweater rajut hangat dengan harga Rp 150.000 di Shopee, beli ga ya?",sweater,4,10,Rp 150.000,38,47,,,,shopee,52,57
Lagi ada trend di tiktok makanan seblak langsung jadi dan harganya cuma 25k,seblak,33,38,25k,72,74,,,,tiktok,18,23
Kemarin saya beli kopi dengan harga 50k,kopi,18,21,50k,36,38,,,,,,
Saya beli masker kesehatan dengan harga Rp 5.000 per box di Guardian.,masker kesehatan,10,25,Rp 5.000,40,47,,,,guardian,60,67
Dapatkan sabun wajah gratis untuk pembelian produk perawatan kulit di atas Rp 200.000,sabun,9,13,Rp 200.000,75,84,,,,,,
Blush on dalam warna peach ini sedang dalam promo beli 2 gratis 1,blush on,0,7,,,,beli 2 gratis 1,50,64,,,
Toner dengan bahan alami ini dijual dengan harga spesial Rp 80.000.,toner,0,4,Rp 80.000,57,65,,,,,,
Saya beli dompet paspor dengan diskon 10% di Shopee.,dompet paspor,10,22,,,,diskon 10%,31,40,shopee,45,50
Saya beli alat pijat punggung untuk kakek saya dengan harga promo Rp 300.000 di Blibli.,alat pijat,10,19,Rp 300.000,66,75,,,,blibli,80,85
Tolong info harga obat pereda nyeri ,obat,18,21,,,,,,,,,
Tas kabin dengan harga promo Rp 300.000 di Blibli.,tas kabin,0,8,Rp 300.000,29,38,,,,blibli,43,48
Power bank portabel dengan potongan harga 15% di JD.ID.,power bank,0,9,,,,potongan harga 15%,27,44,jd.id,49,53
info harga tiket kereta api ke jogja,tiket kereta api,11,26,,,,,,,,,
Lipstik merah  diskon 20% dan dijual dengan harga Rp 50.000,lipstik,0,6,Rp 50.000,50,58,diskon 20%,15,24,,,
Saya beli di burger ayam dengan potongan harga 15% di Burger King.,burger,13,18,,,,potongan harga 15%,32,49,burger king,54,64
kemarin saya nemu Teh hijau dengan diskon 25% di Shopee.,teh,18,20,,,,diskon 25%,35,44,shopee,49,54
Saya ingin makan salmon dengan harga Rp 30.000 per porsi di Sushi Tei.,salmon,17,22,Rp 30.000,37,45,,,,sushi tei,60,68
Susu bayi dengan harga Rp 100.000 per botol di Apotek Kimia Farma.,susu bayi,0,8,Rp 100.000,23,32,,,,apotek kimia farma,47,64
Pakaian bayi dengan diskon 20% di JD.ID,pakaian bayi,0,11,,,,diskon 20%,20,29,jd.id,34,
beli bantal duduk dengan harga promo Rp 50.000 di Tokopedia.,beli bantal duduk,0,16,Rp 50.000,37,45,,,,tokopedia,50,58
Roti tawar dengan harga Rp 5.000 per bungkus di Indomaret,roti tawar,0,9,Rp 5.000,24,31,,,,indomaret,48,56
Beli obat kutu kucing seharga 150 ribu,obat kutu kucing,5,20,150 ribu,30,37,,,,,,
saya beli kompas dengan potongan harga 15% di Shopee.,kompas,10,15,,,,potongan harga 15%,24,41,shopee,46,51
beli tenda dengan harga Rp 250.000 di JD.ID.,tenda,5,9,Rp 250.000,24,33,,,,jd.id,38,42
Es teh manis dengan diskon 10% di Teh Poci.,es teh,0,5,,,,diskon 10%,20,29,teh poci,34,41
"Spons beauty dengan tekstur lembut ini dijual dengan harga Rp 15.000, promo beli 2 gratis 1.",spons,0,4,Rp 15.000,59,67,beli 2 gratis 1,76,90,,,
"eyeshadow dengan harga Rp 50.000, diskon 10% untuk pembelian selama weekend.",eyeshadow,0,8,Rp 50.000,23,31,diskon 10%,34,43,,,
Ayam goreng crispy dengan harga promo Rp 35.000 di KFC.,ayam goreng,0,10,Rp 35.000,38,46,,,,kfc,51,53
Tempat tidur bayi dengan diskon 25% di Shopee.,tempat tidur bayi,0,16,,,,diskon 25%,25,34,shopee,39,44
Stroller dengan harga promo Rp 500.000 di Baby Shop.,stroller,0,7,Rp 500.000,28,37,,,,baby shop,42,50
Kemarin saya tiba tiba beli Cincin berlian dengan harga Rp 10.000.000 di Mall,cincin,28,33,Rp 10.000.000,56,68,,,,mall,73,76
Anting emas dengan diskon 20% di JD.ID jadi hanya 300 ribu,anting,0,5,300 ribu,50,57,diskon 20%,19,28,jd.id,33,37
Saya beli popok sekali pakai dengan diskon 10% di Guardian untuk adik saya,popok,10,14,,,,diskon 10%,36,45,guardian,50,57
Jam tangan pria dengan diskon 10% di Mall,jam tangan,0,9,,,,diskon 10%,23,32,mall,37,40
Botol susu dengan harga Rp 20.000 per botol di Guardian.,botol susu,0,9,Rp 20.000,24,32,,,,guardian,47,54
Set perhiasan berlian dengan harga promo Rp 25.000.000 di Perhiasan Eksklusif.,berlian,14,20,Rp 25.000.000,41,53,,,,perhiasan eksklusif,58,76
Kereta dorong bayi dengan harga promo Rp 300.000 di Blibli.,kereta dorong,0,12,Rp 300.000,38,47,,,,blibli,52,57
Cincin emas dengan diskon 10% di Shopee.,cincin,0,5,,,,diskon 10%,19,28,,,
saya beli mobil baru seharga 150 juta,mobil,10,14,150 juta,29,36,,,,,,
Mainan kucing dengan diskon 15% di JD.ID murah hanya 40k,mainan kucing,0,12,40k,53,55,diskon 15%,21,30,jd.id,35,39
Pengen beli speaker Bluetooth dengan harga promo Rp 500.000 di Tokopedia,speaker bluetooth,12,28,Rp 500.000,49,58,,,,tokopedia,63,71
Makanan bayi dengan diskon 15% di Toko,makanan bayi,0,11,,,,diskon 15%,20,29,toko,34,37
"Krim mata untuk mengurangi kerutan ini dijual dengan harga Rp 60.000, diskon 20% untuk anggota member.",krim mata,0,8,Rp 60.000,59,67,,,,,,
"Pewarna kuku dalam berbagai warna ini dijual dengan harga Rp 15.000 per botol, promo beli 3 gratis 1.",pewarna kuku,0,11,Rp 15.000,58,66,beli 3 gratis 1,85,99,,,
Gaming console dengan harga promo Rp 4.000.000 di Tokopedia,console,7,13,Rp 4.000,34,41,,,,tokopedia,50,58
Earphone dengan potongan harga 15% di JD.ID.,earphone,0,7,,,,potongan harga 15%,16,33,jd.id,38,42
Air purifier dengan diskon 10% di Shopee jadi hanya 80ribu,air purifier,0,11,,,,diskon 10%,20,29,shopee,34,39
Smartwatch dengan harga promo Rp 1.000.000 di Tiktok Shop,smartwatch,0,9,Rp 1.000.000,30,41,,,,tiktok shop,46,56
Kacamata dengan harga promo Rp 100.000 di Watsons.,kacamata,0,7,Rp 100.000,28,37,,,,watsons,42,48
Alat pengukur suhu tubuh dengan potongan harga 15% di Matahari ,alat pengukur suhu,0,17,,,,potongan harga 15%,32,49,matahari,54,61
Saya ingin beli motor yang harganya dibawah 20 juta,motor,16,20,20 juta,44,50,,,,,,
Sepeda lipat dengan harga promo Rp 1.000.000 di Tokopedia.,sepeda,0,5,Rp 1.000.000,32,43,,,,tokopedia,48,56
Saya kemarin beli mie gacoan di shopeefood hanya 35 ribu,mie,18,20,35 ribu,49,55,,,,shopeefood,32,41
Saya sedang memikirkan ayam goreng spesial yang dijual dengan harga promo Rp 25.000 di shopeefood Apakah sebaiknya saya membelinya?,ayam goreng,23,33,Rp 25.000,74,82,,,,shopeefood,87,96
Saya sedang memikirkan nasi goreng spesial yang dijual dengan harga promo Rp 25.000 di Gojek. Apakah sebaiknya saya membelinya?,nasi goreng,23,33,Rp 25.000,74,82,,,,gojek,87,91
"Ada paket tur ke Pulau Komodo dengan harga promo, hanya 3 juta untuk satu orang. Sebaiknya saya ikut tur tersebut atau mencari opsi lain?",paket tur,4,12,3 juta,56,61,,,,,,
Mobil sedan dengan harga Rp 200.000.000 di Dealer Mobil A.,mobil sedan,0,10,Rp 200.000,25,34,,,,dealer mobil ,43,55
Saya ingin membeli mesin cuci dengan harga Rp 3.000.000 di Tokopedia,mesin cuci,19,28,Rp 3.000.000,43,54,,,,tokopedia,59,67
Motor sport dengan diskon 10% di Dealer Motor B.,motor sport,0,10,,,,diskon 10%,19,28,dealer motor ,33,45
"Liat tetangga beli sepeda baru jadi pengen, tapi cuma ada uang 3 juta",sepeda,19,24,3 juta,63,68,,,,,,
Beli tablet di Shopee apakah worth it? Ada diskon 30% jadi 9 juta aja,tablet,5,10,,,,diskon 30%,43,52,shopee,15,20
Mobil SUV dengan potongan harga 15% di Dealer Mobil X.,mobil suv,0,8,,,,potongan harga 15%,17,34,dealer mobil,39,50
Pengen beli concealer karena lg ada diskon 25% di TikTok shop ,concealer,12,20,,,,diskon 25%,36,45,tiktok shop,50,60
Lip balm dengan aroma buah-buahan ini dijual dengan harga Rp 20.000 dan diskon 30% karena grand opening.,lip balm,0,7,Rp 20.000,58,66,,,,,,
"Pelembab wajah dengan SPF 30 ini dijual dengan harga Rp 90.000, dapat diskon 50% dari harga awal.",pelembab,0,7,Rp 90.000,53,61,diskon 50%,70,79,,,
"Scrub wajah yang lembut ini dijual seharga Rp 45.000, diskon 10% untuk pembelian selama jam kerja.",scrub,0,4,Rp 45.000,43,51,,,,,,
Anak udah mau gede jadi butuh beli Stroller tapi cuma ada budget 1 juta,stroller,35,42,1 juta,65,70,,,,,,
Tengah malem laper banget jadi pengen beli kopi,kopi,43,46,,,,,,,,,
Pegel pegel abis wfo seharian lgsg beli koyo merah di Watson dan dapet diskon 10% jadi cuma 15 ribu,koyo merah,40,49,15 ribu,92,98,,,,watson,54,59
Saya beli anting berlian dengan harga promo Rp 3.000.000 di JD.ID.,anting,10,15,Rp 3.000.000,44,55,,,,jd.id,60,64
Gelang emas dengan potongan harga 20% di Butik Perhiasan Y.,gelang,0,5,,,,potongan harga 20%,19,36,butik,41,45
Apakah sebaiknya saya membeli baju baru untuk acara pernikahan yang akan datang?,baju,30,33,,,,,,,,,
mau beli susu bayi dengan harga Rp 150.000 di Shopee,susu ,9,13,Rp 150.000,32,41,,,,shopee,46,51
Baju hamil dengan potongan harga 15% di Matahari Department Store.,baju hamil,0,9,,,,potongan harga 15%,18,35,matahari,40,47
Perlengkapan makan bayi dengan harga promo Rp 50.000 di Tokopedia,Perlengkapan makan,0,17,Rp 50.000,43,51,,,,tokopedia,56,64
Carseat bayi dengan diskon 25% di Shopee.,carseat,0,6,,,,diskon 25%,20,29,shopee,34,39
"Kemarin nyium orang pake parfum enak banget dan barusan nemu di mall yang sama wanginya, harganya 150k beli ga ya?",parfum,25,30,150k,98,101,,,,mall,64,67
"Shampoo untuk rambut kering ini dijual dengan harga Rp 25.000, diskon 25% untuk pembelian kedua.",shampoo,0,6,Rp 25.000,52,60,diskon 25%,63,72,,,
"Conditioner yang melembutkan rambut ini dijual dengan harga Rp 30.000, promo buy 2 get 1 free.",conditioner,0,10,Rp 30.000,60,68,buy 2 get 1,77,87,,,
Mau beli parfum buat konser di Shopee lagi ada diskon jadi 100 ribu.,parfum,9,14,100 ribu,59,66,,,,shopee,31,36
Baju tidur piyama dengan potongan harga 10% di Zalora.,baju,0,3,,,,potongan harga 10%,25,42,zalora,47,52
Kemeja lengan panjang dengan harga promo Rp 180.000 di JD.ID.,kemeja,0,5,Rp 180.000,41,50,,,,jd.id,55,59
Aku dapet tiket pesawat promo ke Bali seharga Rp 1.000.000 di Traveloka.,tiket pesawat,10,22,Rp 1.000.000,46,57,,,,traveloka,62,70
Sabun mandi dengan harga promo Rp 10.000 di Watsons.,sabun,0,4,Rp 10.000,31,39,,,,watsons,44,50
Bros perak dengan harga Rp 500.000 di Perhiasan Klasik.,bros,0,3,Rp 500.000,24,33,,,,perhiasan klasik,38,53
botol susu bayi dengan potongan harga 15% di Matahari,botol susu,0,9,,,,potongan harga 15%,23,40,matahari,45,52
"Saya baru saja membeli mobil baru, sebuah sedan dengan mesin yang efisien dengan harga sekitar 200 juta rupiah",mobil,23,27,200 juta,95,102,,,,,,
Saya senang menggunakan sepeda gunung untuk berpetualang dengan harga sekitar 5 juta rupiah.,sepeda,24,29,5 juta,78,83,,,,,,
Saya sangat puas dengan kualitas skuter elektrik merek lokal yang saya beli dengan harga sekitar 10 juta rupiah,skuter,33,38,10 juta,97,103,,,,,,
stroller dengan harga Rp 150.000 di Apotek Kimia Farma.,stroller,0,7,Rp 150.000,22,31,,,,apotek kimia farma,36,53
Gendongan bayi dengan diskon 10% di JD.ID.,gendongan bayi,0,13,,,,diskon 10%,22,31,jd.id,36,40
Mainan kucing dengan harga promo Rp 30.000 di Blibli.,mainan kucing,0,12,Rp 30.000,33,41,,,,blibli,46,51
"Kertas minyak untuk mengontrol minyak berlebih di wajah ini dijual dengan harga Rp 10.000, diskon 50% untuk pembelian kedua.",kertas minyak,0,12,Rp 10.000,80,88,diskon 50%,91,100,,,
"Masker wajah dalam berbagai varian ini dijual dengan harga Rp 30.000 per lembar, promo beli 5 gratis 2.",masker wajah,0,11,Rp 30.000,59,67,,,,,,
Lagi pengen deh beli topi adidas di shopee... 210rb worth it gak yaa?,topi,21,24,210rb,46,50,,,,shopee,36,41
Pengen dapet tiket konser coldplay festival tapi harganya udah 10jt++ huhu,tiket konser,13,24,10jt++,63,68,,,,,,
Di gojek lagi ada promo McD tuh 1 ayam 1 nasi jadi cuman 35rb,mcd,24,26,35rb,57,60,promo McD tuh 1 ayam 1 nasi,18,44,gojek,3,7
Hai aku laig pengen beli iphone 13 di harga 13 juta murah ga ya?,iphone 13,25,33,13 juta,44,50,,,,,,
Abis nonton video fitra Eri sama om mobi jadi tertarik sama avanza veloz deh tapi cuma mampu beli second..,avanza ,60,66,,,,,,,,,
Pengen beli tiket ke bali harganya 2.5jt worth it ga sih?,tiket,12,16,2.5jt,35,39,,,,,,
minggu depan mau ke jogja naik kereta 600rb lagi mahal deh kayaknya,kereta,31,36,600rb,38,42,,,,,,
mending aku beli sabun cair lifebuoy yg beli 1 gratis 1 dengan harga 32.500 di tokopedia ga sih..?,sabun,17,21,32.5,69,72, beli 1 gratis 1,39,54,tokopedia,79,87
Motor Murah Tipe Matic Bikinan Suzuki Mesin 125 cc Bagasi Muat 2 Helm Harga Tidak Sampai Rp 20 Juta,motor,0,4,Rp 20 Juta,89,98,,,,,,
Kemarin di mall ngeliat kemeja koko beli 1 gratis 1 total harga 370rb.. Cuan sih,kemeja,24,29,370rb,64,68,beli 1 gratis 1,36,50,mall,11,14
Lagi pengen beli flanel di mall harganya lagi diskon 30% jadi 280rb,flanel,17,22,280rb,62,66,diskon 30%,46,55,mall,27,30
Tertarik beli sabun mandi nuvoo lagi diskon 8% di tokopedia,sabun,14,18,,,,diskon 8%,37,45,tokopedia,50,58
asli deh sabun watsons di tokopedia cuma 39800 beli kali ya,sabun,9,13,39800,41,45,,,,tokopedia,26,34
Mau refill sabun dettol di tokopedia harganya 20rb an,sabun,11,15,20rb an,46,52,,,,tokopedia,27,35
KOJIE SAN Face lightening cream yg 30 g worth it gak 50k?,face,10,13,50k,53,55,,,,,,
